dateTime,open,high,low,close,volume
2024-01-22 12:00:00,2.65000000,2.66900000,2.64700000,2.66400000,60663.20000000
2024-01-22 13:00:00,2.66300000,2.66500000,2.64600000,2.65400000,129471.40000000
2024-01-22 14:00:00,2.65300000,2.68300000,2.65100000,2.66700000,139512.21000000
2024-01-22 15:00:00,2.66600000,2.66900000,2.62300000,2.63600000,152433.54000000
2024-01-22 16:00:00,2.63500000,2.63800000,2.55000000,2.59300000,1258026.87000000
2024-01-22 17:00:00,2.59300000,2.60100000,2.57300000,2.57700000,173655.79000000
2024-01-22 18:00:00,2.57700000,2.59500000,2.57000000,2.58500000,114885.70000000
2024-01-22 19:00:00,2.58700000,2.59000000,2.55700000,2.57800000,193902.09000000
2024-01-22 20:00:00,2.57900000,2.59100000,2.50400000,2.53800000,493132.51000000
2024-01-22 21:00:00,2.53900000,2.57900000,2.53700000,2.56500000,160145.34000000
2024-01-22 22:00:00,2.56600000,2.56700000,2.54800000,2.55400000,103948.42000000
2024-01-22 23:00:00,2.55300000,2.56600000,2.52500000,2.53600000,155294.68000000
2024-01-23 00:00:00,2.53700000,2.54400000,2.51800000,2.52900000,135345.43000000
2024-01-23 01:00:00,2.52900000,2.54000000,2.50700000,2.52700000,200444.03000000
2024-01-23 02:00:00,2.52700000,2.53900000,2.51900000,2.53400000,69472.14000000
2024-01-23 03:00:00,2.53400000,2.55800000,2.53400000,2.55600000,74563.05000000
2024-01-23 04:00:00,2.55600000,2.56200000,2.54800000,2.55500000,127176.77000000
2024-01-23 05:00:00,2.55600000,2.56500000,2.54600000,2.54600000,128575.40000000
2024-01-23 06:00:00,2.54600000,2.55800000,2.54100000,2.55500000,96289.18000000
2024-01-23 07:00:00,2.55500000,2.55800000,2.53700000,2.54200000,175338.01000000
2024-01-23 08:00:00,2.54200000,2.54400000,2.50000000,2.50900000,332366.84000000
2024-01-23 09:00:00,2.50900000,2.51700000,2.43000000,2.45000000,631850.52000000
2024-01-23 10:00:00,2.45100000,2.46000000,2.34600000,2.37900000,1102231.82000000
2024-01-23 11:00:00,2.37800000,2.40900000,2.36900000,2.37200000,195235.68000000
2024-01-23 12:00:00,2.37100000,2.39500000,2.36900000,2.38800000,271861.46000000
2024-01-23 13:00:00,2.38800000,2.40800000,2.37000000,2.39400000,231285.62000000
2024-01-23 14:00:00,2.39500000,2.39500000,2.36300000,2.36300000,192707.91000000
2024-01-23 15:00:00,2.36300000,2.37600000,2.32500000,2.37400000,515047.46000000
2024-01-23 16:00:00,2.37400000,2.41500000,2.37000000,2.40600000,272915.38000000
2024-01-23 17:00:00,2.40500000,2.40900000,2.38700000,2.40400000,121997.50000000
2024-01-23 18:00:00,2.40300000,2.42500000,2.39800000,2.40300000,173952.34000000
2024-01-23 19:00:00,2.40200000,2.42400000,2.39000000,2.39100000,123106.58000000
2024-01-23 20:00:00,2.39100000,2.40600000,2.38900000,2.39000000,59713.21000000
2024-01-23 21:00:00,2.39000000,2.40500000,2.38200000,2.39700000,139942.61000000
2024-01-23 22:00:00,2.39500000,2.40500000,2.38100000,2.39200000,62953.91000000
